Simpsons Frequency Dictionary

Frequency Dictionary based on OpenSubtitles of all Simpson Episodes (in english).

Rank   Word                           Frequency
1077   ate                            (293)
1078   judge                          (293)
1079   killing                        (292)
1080   steal                          (292)
1081   able                           (292)
1082   moaning                        (292)
1083   honking                        (291)
1084   although                       (291)
1085   fear                           (291)
1086   solo                           (291)
1087   taught                         (290)
1088   wind                           (290)
1089   teeth                          (290)
1090   muttering                      (290)
1091   student                        (288)
1092   fill                           (288)
1093   building                       (288)
1094   they've                        (287)
1095   bunch                          (287)
1096   grade                          (286)
1097   bottle                         (286)
1098   handle                         (286)
1099   exciting                       (286)
1100   hundred                        (286)
1101   sitting                        (286)
1102   awful                          (285)
1103   video                          (284)
1104   control                        (284)
1105   blame                          (284)
1106   santa                          (284)
1107   suit                           (283)
1108   none                           (283)
1109   center                         (283)
1110   queen                          (282)
1111   students                       (282)
1112   entire                         (282)
1113   sun                            (281)
1114   raise                          (281)
1115   scared                         (281)
1116   today's                        (281)
1117   ew                             (281)
1118   names                          (280)
1119   count                          (280)
1120   moon                           (280)
1121   dollar                         (280)
1122   explain                        (280)
1123   credit                         (280)
1124   grand                          (279)
1125   during                         (278)
1126   simple                         (278)
1127   note                           (278)
1128   bathroom                       (278)
1129   cannot                         (278)
1130   jerk                           (278)
1131   nine                           (277)
1132   loser                          (277)
1133   busy                           (277)
1134   &                              (277)
1135   whistling                      (277)
1136   winner                         (276)
1137   captain                        (276)
1138   suck                           (276)
1139   single                         (275)
1140   hungry                         (275)
1141   shirt                          (275)
1142   dress                          (274)
1143   trick                          (274)
1144   ground                         (273)
1145   price                          (273)
1146   owe                            (273)
1147   admit                          (273)
1148   stole                          (272)
1149   lis                            (272)
1150   murder                         (272)
1151   siren                          (272)
1152   that'll                        (272)
1153   jazzy                          (272)
1154   list                           (271)
1155   whimpers                       (271)
1156   animal                         (271)
1157   short                          (271)
1158   santa's                        (270)
1159   yep                            (270)
1160   walking                        (270)
1161   agree                          (269)
1162   holy                           (269)
1163   double                         (269)
1164   wall                           (269)
1165   dump                           (268)
1166   road                           (268)
1167   afternoon                      (267)
1168   tape                           (267)
1169   normal                         (266)
1170   shelbyville                    (266)
1171   garbage                        (266)
1172   quimby                         (266)
1173   bye                            (266)
1174   otto                           (266)
1175   record                         (265)
1176   troy                           (265)
1177   gold                           (265)
1178   giant                          (265)
1179   popular                        (265)
1180   vacation                       (264)
1181   broken                         (264)
1182   reverend                       (264)
1183   careful                        (264)
1184   named                          (264)
1185   prove                          (263)
1186   original                       (263)
1187   putting                        (263)
1188   ticket                         (262)
1189   congratulations                (262)
1190   joke                           (262)
1191   fellow                         (262)
1192   o/                             (262)
1193   george                         (262)
1194   paying                         (261)
1195   fix                            (261)
1196   seconds                        (261)
1197   cry                            (260)
1198   gotten                         (260)
1199   shop                           (259)
1200   football                       (258)
1201   scoffs                         (258)
1202   smoke                          (257)
1203   interesting                    (257)
1204   computer                       (257)
1205   sunday                         (256)
1206   amazing                        (255)
1207   dangerous                      (255)
1208   character                      (255)
1209   jail                           (255)
1210   pig                            (255)
1211   dumb                           (255)
1212   channel                        (254)
1213   smells                         (254)
1214   train                          (254)
1215   giggling                       (254)
1216   lovely                         (253)
1217   feelings                       (253)
1218   hole                           (253)
1219   ugly                           (253)
1220   interested                     (252)
1221   asking                         (252)
1222   joe                            (252)
1223   larry                          (252)
1224   sleeping                       (251)
1225   totally                        (250)
1226   truly                          (250)
1227   hall                           (250)
1228   message                        (250)
1229   jazz                           (249)
1230   cents                          (249)
1231   serious                        (249)
1232   cell                           (249)
1233   romantic                       (248)
1234   plays                          (248)
1235   action                         (248)
1236   final                          (248)
1237   guy's                          (248)
1238   weekend                        (247)
1239   world's                        (247)
1240   wailing                        (247)
1241   helper                         (247)
1242   biggest                        (247)
1243   push                           (247)
1244   fake                           (246)
1245   dare                           (246)
1246   bank                           (246)
1247   buzzing                        (246)
1248   springfield's                  (245)
1249   alarm                          (245)
1250   apple                          (245)
1251   yells                          (245)
1252   angel                          (245)
1253   spent                          (245)
1254   fighting                       (244)
1255   shows                          (244)
1256   waste                          (244)
1257   wine                           (244)
1258   personal                       (244)
1259   fox                            (243)
1260   stars                          (243)
1261   treat                          (243)
1262   promised                       (243)
1263   squeaking                      (242)
1264   given                          (242)
1265   weight                         (241)
1266   middle                         (241)
1267   genius                         (241)
1268   john                           (241)
1269   baseball                       (241)
1270   honest                         (240)
1271   saturday                       (240)
1272   innocent                       (240)
1273   bowling                        (239)
1274   form                           (239)
1275   sucks                          (239)
1276   army                           (239)
1277   hide                           (239)
1278   calm                           (238)
1279   ugh                            (238)
1280   favor                          (238)
1281   race                           (238)
1282   usually                        (238)
1283   de                             (237)
1284   passed                         (237)
1285   snow                           (236)
1286   spot                           (236)
1287   lived                          (236)
1288   abe                            (236)
1289   island                         (236)
1290   museum                         (236)
1291   engine                         (236)
1292   dark                           (236)
1293   outta                          (235)
1294   lead                           (234)
1295   delicious                      (234)
1296   keys                           (234)
1297   finished                       (233)
1298   uncle                          (233)
1299   famous                         (233)
1300   closed                         (233)
1301   o                              (233)
1302   following                      (233)
1303   shame                          (233)
1304   plane                          (232)
1305   hug                            (232)
1306   nothin'                        (232)
1307   bible                          (232)
1308   pal                            (231)
1309   naked                          (231)
1310   cartoon                        (231)
1311   sports                         (231)
1312   offer                          (231)
1313   station                        (231)
1314   dirty                          (230)
1315   worried                        (230)
1316   upon                           (230)
1317   figure                         (229)
1318   government                     (229)
1319   stopped                        (229)
1320   built                          (229)
1321   tour                           (229)
1322   cheap                          (228)
1323   rid                            (228)
1324   dancing                        (228)
1325   goin'                          (228)
1326   pool                           (227)
1327   completely                     (227)
1328   magazine                       (227)
1329   ''                             (227)
1330   precious                       (227)
1331   kissing                        (227)
1332   oil                            (226)
1333   created                        (226)
1334   feels                          (226)
1335   foot                           (225)
1336   corn                           (225)
1337   tony                           (225)
1338   scary                          (225)
1339   ways                           (225)
1340   planet                         (224)
1341   horse                          (224)
1342   advice                         (224)
1343   sandwich                       (224)
1344   professor                      (223)
1345   strong                         (223)
1346   fit                            (223)
1347   how'd                          (223)
1348   strike                         (223)
1349   arm                            (222)
1350   sale                           (222)
1351   whose                          (222)
1352   god's                          (222)
1353   spirit                         (222)
1354   plenty                         (222)
1355   photo                          (222)
1356   truck                          (222)
1357   father's                       (221)
1358   cheer                          (221)
1359   legs                           (221)
1360   she'll                         (221)
1361   private                        (221)
1362   size                           (221)
1363   listening                      (220)
1364   played                         (220)
1365   writing                        (220)
1366   grave                          (219)
1367   program                        (219)
1368   decided                        (219)
1369   should've                      (219)
1370   stomach                        (219)
1371   stacy                          (218)
1372   elephant                       (218)
1373   mail                           (218)
1374   faster                         (218)
1375   moans                          (218)
1376   warm                           (218)
1377   kitchen                        (217)
1378   kwik-e-mart                    (217)
1379   cookies                        (217)
1380   poison                         (216)
1381   needed                         (216)
1382   upset                          (215)
1383   others                         (215)
1384   round                          (215)
1385   paint                          (215)
1386   beloved                        (215)
1387   destroy                        (215)
1388   blind                          (214)
1389   moving                         (214)
1390   neck                           (214)
1391   according                      (214)
1392   hasn't                         (214)
1393   stealing                       (214)
1394   tom                            (214)
1395   starts                         (214)
1396   washington                     (214)
1397   calls                          (213)
1398   fourth                         (213)
1399   daddy's                        (213)
1400   robot                          (213)
1401   invented                       (212)
1402   danger                         (211)
1403   button                         (211)
1404   games                          (211)
1405   tie                            (211)
1406   '                              (211)
1407   ran                            (211)
1408   expect                         (211)
1409   smile                          (211)
1410   happening                      (211)
1411   juice                          (211)
1412   begin                          (211)
1413   dig                            (210)
1414   stops                          (210)
1415   season                         (210)
1416   heads                          (209)
1417   toy                            (209)
1418   leader                         (209)
1419   b                              (208)
1420   possibly                       (208)
1421   ourselves                      (208)
1422   beauty                         (207)
1423   eggs                           (207)
1424   wild                           (207)
1425   liked                          (207)
1426   shake                          (207)
1427   st                             (207)
1428   lights                         (207)
1429   revenge                        (206)
1430   nature                         (206)
1431   security                       (206)
1432   language                       (206)
1433   episode                        (205)
1434   accent                         (204)
1435   heh                            (204)
1436   experience                     (204)
1437   fortune                        (203)
1438   zero                           (203)
1439   lying                          (203)
1440   gum                            (203)
1441   keeping                        (203)
1442   aye                            (203)
1443   feed                           (203)
1444   across                         (203)
1445   silly                          (203)
1446   hospital                       (203)
1447   everywhere                     (202)
1448   sauce                          (202)
1449   handsome                       (201)
1450   butter                         (201)
1451   freedom                        (201)
1452   board                          (200)
1453   miracle                        (200)
1454   cable                          (200)
1455   goodness                       (200)
1456   appreciate                     (200)
1457   hibbert                        (200)
1458   common                         (200)
1459   ¶                              (199)
1460   media                          (199)
1461   america's                      (199)
1462   bread                          (199)
1463   yellow                         (199)
1464   code                           (199)
1465   settle                         (198)
1466   doin'                          (198)
1467   flying                         (198)
1468   leg                            (198)
1469   da                             (198)
1470   filled                         (198)
1471   fancy                          (198)
1472   bees                           (197)
1473   growls                         (197)
1474   everyone's                     (197)
1475   ye                             (197)
1476   helping                        (196)
1477   cards                          (196)
1478   comedy                         (196)
1479   neighbor                       (196)
1480   aunt                           (196)
1481   nervous                        (195)
1482   arms                           (195)
1483   homework                       (195)
1484   saving                         (195)
1485   fruit                          (195)
1486   mister                         (195)
1487   jump                           (195)
1488   wha                            (194)
1489   especially                     (194)
1490   year's                         (194)
1491   knife                          (194)
1492   he'd                           (193)
1493   twice                          (193)
1494   wet                            (193)
1495   malibu                         (193)
1496   award                          (193)
1497   mother's                       (193)
1498   accept                         (193)
1499   north                          (193)
1500   spending                       (192)
1501   shouts                         (192)
1502   maude                          (192)
1503   man's                          (192)
1504   squealing                      (192)
1505   monty                          (192)
1506   classic                        (192)
1507   television                     (192)
1508   contest                        (191)
1509   officer                        (191)
1510   beach                          (191)
1511   girlfriend                     (191)
1512   apologize                      (191)
1513   jesus                          (191)
1514   bigger                         (190)
1515   barking                        (190)
1516   cow                            (190)
1517   stories                        (190)
1518   snake                          (189)
1519   national                       (189)
1520   cars                           (189)
1521   would've                       (188)
1522   gem                            (188)
1523   choose                         (188)
1524   wondering                      (188)
1525   hollywood                      (188)
1526   bottom                         (188)
1527   montgomery                     (188)
1528   guns                           (187)
1529   mary                           (187)
1530   holding                        (187)
1531   remind                         (187)
1532   internet                       (186)
1533   stink                          (185)
1534   drugs                          (185)
1535   buck                           (185)
1536   dying                          (185)
1537   miles                          (185)
1538   allowed                        (185)
1539   energy                         (184)
1540   cruel                          (184)
1541   wash                           (184)
1542   aaah                           (184)
1543   coughing                       (184)
1544   accident                       (184)
1545   complete                       (183)
1546   mel                            (183)
1547   notice                         (183)
1548   powerful                       (183)
1549   cup                            (183)
1550   thousand                       (183)
1551   restaurant                     (182)
1552   mess                           (182)
1553   pictures                       (182)
1554   career                         (182)
1555   rod                            (182)
1556   yelps                          (182)
1557   besides                        (182)
1558   chittering                     (182)
1559   fans                           (182)
1560   ship                           (181)
1561   mama                           (181)
1562   pounds                         (181)
1563   radioactive                    (181)
1564   male                           (181)
1565   rat                            (181)
1566   van                            (181)
1567   grab                           (181)
1568   near                           (181)
1569   spit                           (181)
1570   elementary                     (181)
1571   standing                       (180)
1572   darling                        (180)
1573   keeps                          (180)
1574   prize                          (180)
1575   mommy                          (180)
1576   pleasure                       (180)
1577   losers                         (180)
1578   rule                           (180)
1579   series                         (180)
1580   adult                          (180)
1581   bones                          (180)
1582   glasses                        (180)
1583   tight                          (180)
1584   pork                           (180)
1585   someday                        (179)
1586   wheel                          (179)
1587   became                         (179)
1588   what'd                         (179)
1589   looked                         (178)
1590   buying                         (178)
1591   yesterday                      (178)
1592   doll                           (178)
1593   regular                        (178)
1594   clock                          (178)
1595   egg                            (178)
1596   license                        (178)
1597   realized                       (178)
1598   cops                           (177)
1599   mcclure                        (177)
1600   york                           (177)
1601   cartoons                       (177)
1602   fingers                        (177)
1603   turning                        (177)
1604   possible                       (177)
1605   princess                       (177)
1606   project                        (176)
1607   commercial                     (176)
1608   heck                           (175)
1609   ridiculous                     (175)
1610   scene                          (175)
1611   learning                       (175)
1612   ideas                          (174)
1613   protect                        (174)
1614   library                        (174)
1615   invited                        (174)
1616   brilliant                      (174)
1617   natural                        (174)
1618   trash                          (174)
1619   nerd                           (174)
1620   camp                           (173)
1621   factory                        (173)
1622   lies                           (173)
1623   bless                          (173)
1624   area                           (173)
1625   anywhere                       (173)
1626   lock                           (173)
1627   devil                          (172)
1628   guard                          (172)
1629   cares                          (172)
1630   screw                          (172)
1631   letters                        (172)
1632   model                          (172)
1633   yay                            (171)
1634   nope                           (171)
1635   chinese                        (171)
1636   americans                      (171)
1637   capital                        (171)
1638   sexy                           (171)
1639   insurance                      (171)
1640   finger                         (171)
1641   k                              (171)
1642   loving                         (171)
1643   spare                          (170)
1644   empty                          (170)
1645   where'd                        (170)
1646   tune                           (170)
1647   halloween                      (170)
1648   continue                       (169)
1649   someone's                      (169)
1650   chalmers                       (169)
1651   balls                          (169)
1652   violence                       (169)
1653   dry                            (169)
1654   freak                          (169)
1655   guest                          (169)
1656   pony                           (169)
1657   'bout                          (168)
1658   brown                          (168)
1659   lazy                           (168)
1660   score                          (168)
1661   sky                            (168)
1662   mountain                       (167)
1663   pa                             (167)
1664   warn                           (167)
1665   festival                       (167)
1666   level                          (167)
1667   piano                          (167)
1668   total                          (167)
1669   parking                        (167)
1670   saxophone                      (167)
1671   cop                            (167)
1672   force                          (166)
1673   situation                      (166)
1674   operation                      (166)
1675   professional                   (166)
1676   due                            (166)
1677   press                          (166)
1678   tip                            (165)
1679   bother                         (165)
1680   speech                         (165)
1681   kept                           (165)
1682   yard                           (165)
1683   papa                           (165)
1684   health                         (165)
1685   turkey                         (165)
1686   pretend                        (165)
1687   treasure                       (165)
1688   community                      (164)
1689   guilty                         (164)
1690   ma                             (164)
1691   junk                           (164)
1692   birds                          (164)
1693   clearly                        (164)
1694   switch                         (164)
1695   opening                        (164)
1696   hurts                          (163)
1697   could've                       (163)
1698   legal                          (163)
1699   dirt                           (163)
1700   rats                           (163)
1701   jobs                           (163)
1702   master                         (163)
1703   sweetheart                     (162)
1704   excited                        (162)
1705   krusty's                       (162)
1706   faith                          (162)
1707   scream                         (162)
1708   threw                          (161)
1709   selling                        (161)
1710   closer                         (161)
1711   plastic                        (161)
1712   everything's                   (161)
1713   ding                           (161)
1714   track                          (161)
1715   d                              (161)
1716   arrest                         (161)
1717   brings                         (161)
1718   darn                           (161)
1719   heavy                          (161)
1720   study                          (160)
1721   bully                          (160)
1722   information                    (160)
1723   turns                          (160)
1724   mystery                        (160)
1725   jimbo                          (160)
1726   covered                        (160)
1727   support                        (159)
1728   silence                        (159)
1729   sergeant                       (159)
1730   held                           (159)
1731   moved                          (159)
1732   whee                           (159)
1733   j                              (159)
1734   children's                     (158)
1735   seriously                      (158)
1736   electric                       (158)
1737   page                           (158)
1738   pet                            (158)
1739   salad                          (158)
1740   bone                           (158)
1741   interest                       (158)
1742   jack                           (158)
1743   burning                        (158)
1744   responsible                    (157)
1745   square                         (157)
1746   impossible                     (157)
1747   color                          (157)
1748   losing                         (157)
1749   partner                        (157)
1750   screech                        (157)
1751   ba                             (156)
1752   skin                           (156)
1753   spring                         (155)
1754   pink                           (155)
1755   shrieks                        (155)
1756   gimme                          (155)
1757   allow                          (155)
1758   imagine                        (155)
1759   friday                         (155)
1760   trapped                        (155)
1761   tax                            (155)
1762   Â¶                             (154)
1763   son's                          (154)
1764   bringing                       (154)
1765   electricity                    (154)
1766   steak                          (154)
1767   loudly                         (154)
1768   muffled                        (154)
1769   whirring                       (154)
1770   tea                            (154)
1771   couch                          (154)
1772   mood                           (153)
1773   burger                         (153)
1774   ray                            (153)
1775   testing                        (153)
1776   soup                           (153)
1777   higher                         (153)
1778   department                     (153)
1779   certain                        (153)
1780   whenever                       (153)
1781   states                         (152)
1782   fabulous                       (152)
1783   leaves                         (152)
1784   attitude                       (152)
1785   whispering                     (152)
1786   christian                      (152)
1787   member                         (152)
1788   oops                           (152)
1789   roof                           (152)
1790   footsteps                      (152)
1791   caramba                        (152)
1792   fan                            (152)
1793   fellas                         (152)
1794   mall                           (151)
1795   pair                           (151)
1796   crack                          (151)
1797   goodbye                        (151)
1798   poochie                        (151)
1799   france                         (151)
1800   falling                        (151)
1801   peanut                         (151)
1802   lovejoy                        (151)
1803   mom's                          (150)
1804   ghost                          (150)
1805   panic                          (150)
1806   gettin'                        (150)
1807   sigh                           (150)
1808   blues                          (150)
1809   religion                       (150)
1810   bouvier                        (150)
1811   sisters                        (149)
1812   surprised                      (149)
1813   insane                         (149)
1814   picked                         (149)
1815   gross                          (149)
1816   mark                           (149)
1817   suckers                        (149)
1818   south                          (149)
1819   shopping                       (149)
1820   booze                          (148)
1821   explosion                      (148)
1822   s                              (148)
1823   thoughts                       (148)
1824   desk                           (148)
1825   smoking                        (148)
1826   bath                           (148)
1827   behold                         (148)
1828   noise                          (148)
1829   hanging                        (148)
1830   league                         (148)
1831   conversation                   (148)
1832   numbers                        (148)
1833   older                          (148)
1834   duck                           (147)
1835   hm                             (147)
1836   customers                      (147)
1837   further                        (147)
1838   yell                           (147)
1839   garage                         (147)
1840   sighing                        (147)
1841   hiding                         (147)
1842   ocean                          (147)
1843   acting                         (147)
1844   taxes                          (147)
1845   duty                           (147)
1846   themselves                     (147)
1847   bacon                          (147)
1848   employee                       (146)
1849   flag                           (146)
1850   phony                          (146)
1851   wives                          (146)
1852   cause                          (146)
1853   presents                       (146)
1854   general                        (146)
1855   rent                           (146)
1856   odd                            (146)
1857   cook                           (146)
1858   something's                    (146)
1859   success                        (145)
1860   difference                     (145)
1861   ''i                            (145)
1862   expensive                      (145)
1863   pure                           (145)
1864   figured                        (145)
1865   tale                           (145)
1866   giggles                        (145)
1867   county                         (145)
1868   simpson's                      (144)
1869   neighborhood                   (144)
1870   perfectly                      (144)
1871   ours                           (144)
1872   strange                        (144)
1873   hoover                         (144)
1874   sucker                         (144)
1875   lines                          (144)
1876   release                        (144)
1877   underwear                      (144)
1878   clicks                         (144)
1879   society                        (144)
1880   apart                          (144)
1881   pile                           (144)
1882   bike                           (144)
1883   potato                         (144)
1884   written                        (143)
1885   match                          (143)
1886   lied                           (143)
1887   kinda                          (143)
1888   thy                            (143)
1889   stage                          (143)
1890   reach                          (143)
1891   solve                          (143)
1892   smooth                         (143)
1893   sight                          (143)
1894   superintendent                 (143)
1895   boo                            (143)
1896   load                           (143)
1897   prepare                        (143)
1898   illegal                        (142)
1899   lay                            (142)
1900   meaning                        (142)
1901   buried                         (142)
1902   network                        (142)
1903   helen                          (142)
1904   math                           (142)
1905   noticed                        (142)
1906   orange                         (142)
1907   sport                          (142)
1908   witch                          (142)
1909   woo-hoo                        (142)
1910   ears                           (141)
1911   hearing                        (141)
1912   sniffing                       (141)
1913   chop                           (141)
1914   hip                            (141)
1915   shoe                           (141)
1916   planning                       (141)
1917   above                          (141)
1918   wise                           (141)
1919   escape                         (141)
1920   chewing                        (140)
1921   bridge                         (140)
1922   hired                          (140)
1923   winning                        (140)
1924   drug                           (139)
1925   hadn't                         (139)
1926   beans                          (139)
1927   split                          (139)
1928   rocks                          (139)
1929   clamoring                      (139)
1930   organ                          (139)
1931   frank                          (139)
1932   parade                         (139)
1933   bat                            (138)
1934   issue                          (138)
1935   celebrate                      (138)
1936   tiny                           (138)
1937   chapter                        (138)
1938   happiness                      (138)
1939   lonely                         (138)
1940   penny                          (138)
1941   pack                           (138)
1942   places                         (138)
1943   practice                       (138)
1944   closet                         (138)
1945   chomping                       (138)
1946   education                      (138)
1947   female                         (138)
1948   gym                            (137)
1949   detention                      (137)
1950   tells                          (137)
1951   killer                         (137)
1952   serve                          (137)
1953   belches                        (137)
1954   disco                          (137)
1955   stolen                         (137)
1956   neither                        (137)
1957   chanting                       (137)
1958   grease                         (137)
1959   consider                       (136)
1960   driver                         (136)
1961   crash                          (136)
1962   rumbling                       (136)
1963   coughs                         (136)
1964   reminds                        (136)
1965   healthy                        (136)
1966   bomb                           (136)
1967   they'd                         (136)
1968   harder                         (136)
1969   brothers                       (136)
1970   inspector                      (136)
1971   england                        (136)
1972   forward                        (136)
1973   c                              (136)
1974   cleaning                       (136)
1975   map                            (136)
1976   spy                            (135)
1977   spread                         (135)
1978   narrator                       (135)
1979   subject                        (135)
1980   tall                           (135)
1981   evidence                       (135)
1982   search                         (135)
1983   traffic                        (135)
1984   definitely                     (135)
1985   merry                          (135)
1986   ballet                         (135)
1987   breaking                       (135)
1988   collection                     (134)
1989   reward                         (134)
1990   teachers                       (134)
1991   scare                          (134)
1992   entertainment                  (134)
1993   wwwopensubtitlesorg            (134)
1994   yourselves                     (134)
1995   anniversary                    (134)
1996   prepared                       (134)
1997   beef                           (134)
1998   ad                             (134)
1999   eww                            (134)
2000   rubber                         (133)
2001   schools                        (133)
2002   bye-bye                        (133)
2003   metal                          (133)
2004   itself                         (133)
2005   hearts                         (133)
2006   failed                         (133)
2007   mighty                         (133)
2008   brains                         (133)
2009   colonel                        (133)
2010   major                          (132)
2011   blaring                        (132)
2012   onto                           (132)
2013   powers                         (132)
2014   ear                            (132)
2015   alcohol                        (132)
2016   indeed                         (132)
2017   social                         (132)
2018   pills                          (132)
2019   lately                         (132)
2020   gambling                       (132)
2021   answers                        (132)
2022   pipe                           (132)
2023   bullies                        (132)
2024   thee                           (132)
2025   you|                           (132)
2026   lookin'                        (132)
2027   blimp                          (131)
2028   cookie                         (131)
2029   costume                        (131)
2030   plow                           (131)
2031   pardon                         (131)
2032   manager                        (131)
2033   blew                           (131)
2034   robots                         (131)
2035   i-i                            (131)
2036   tub                            (130)
2037   trade                          (130)
2038   memory                         (130)
2039   assistant                      (130)
2040   unfortunately                  (130)
2041   battle                         (130)
2042   steve                          (130)
2043   carry                          (130)
2044   cats                           (130)
2045   attack                         (130)
2046   lame                           (129)
2047   asleep                         (129)
2048   knocking                       (129)
2049   enter                          (129)
2050   theater                        (129)
2051   todd                           (129)
2052   sticks                         (129)
2053   chosen                         (129)
2054   woods                          (129)
2055   basketball                     (129)
2056   boxes                          (128)
2057   johnny                         (128)
2058   training                       (128)
2059   belt                           (128)
2060   bush                           (128)
2061   cigarettes                     (128)
2062   lawn                           (128)
2063   david                          (128)
2064   several                        (128)
2065   dessert                        (128)
2066   speed                          (128)
2067   british                        (128)
2068   lurleen                        (128)
2069   successful                     (127)
2070   reached                        (127)
2071   brakes                         (127)
2072   weak                           (127)
2073   transcript                     (127)
2074   runs                           (127)
2075   prank                          (127)
2076   apartment                      (127)
